iter	Passed	Remaining
0	5	5357
1	8	4444
2	12	4314
3	17	4376
4	21	4366
5	25	4247
6	29	4237
7	35	4354
8	38	4270
9	42	4235
10	46	4204
11	51	4226
12	55	4204
13	59	4224
14	63	4171
15	66	4120
16	70	4104
17	75	4126
18	79	4090
19	82	4066
20	87	4075
21	90	4041
22	94	4011
23	98	4004
24	102	4012
25	106	3985
26	110	3965
27	114	3966
28	118	3961
29	121	3944
30	125	3936
31	130	3938
32	134	3940
33	138	3922
34	142	3920
35	146	3916
36	150	3905
37	153	3892
38	158	3899
39	162	3893
40	165	3880
41	169	3875
42	174	3884
43	178	3871
44	181	3855
45	185	3854
46	190	3860
47	193	3846
48	197	3841
49	202	3852
50	206	3844
51	210	3834
52	214	3832
53	219	3839
54	222	3827
55	226	3816
56	230	3817
57	235	3818
58	238	3809
59	243	3810
60	247	3812
61	251	3802
62	255	3795
63	259	3794
64	263	3789
65	267	3780
66	271	3777
67	276	3789
68	280	3778
69	284	3776
70	288	3774
71	294	3793
72	299	3796
73	303	3793
74	308	3804
75	312	3795
76	316	3790
77	320	3791
78	324	3781
79	328	3775
80	333	3778
81	337	3779
82	341	3771
83	345	3768
84	350	3775
85	354	3767
86	358	3762
87	364	3773
88	368	3769
89	372	3763
90	376	3760
91	381	3764
92	385	3755
93	389	3755
94	393	3752
95	397	3745
96	401	3740
97	407	3750
98	411	3742
99	415	3735
100	419	3734
101	424	3734
102	427	3725
103	431	3720
104	437	3725
105	440	3716
106	444	3710
107	448	3706
108	452	3702
109	456	3696
110	460	3691
111	466	3696
112	470	3692
113	474	3687
114	478	3685
115	482	3677
116	486	3667
117	490	3664
118	494	3664
119	498	3656
120	502	3649
121	508	3658
122	512	3655
123	517	3652
124	521	3648
125	525	3645
126	529	3639
127	533	3635
128	538	3638
129	542	3630
130	546	3625
131	551	3623
132	554	3615
133	558	3607
134	562	3605
135	566	3601
136	570	3594
137	574	3588
138	579	3589
139	583	3584
140	587	3577
141	591	3574
142	596	3574
143	600	3566
144	603	3560
145	608	3557
146	611	3550
147	615	3544
148	619	3539
149	624	3540
150	628	3533
151	632	3527
152	636	3524
153	640	3518
154	643	3510
155	648	3505
156	653	3508
157	657	3502
158	660	3495
159	665	3495
160	671	3497
161	675	3491
162	679	3487
163	683	3482
164	686	3475
165	690	3470
166	695	3471
167	699	3465
168	703	3458
169	707	3453
170	712	3453
171	715	3446
172	719	3440
173	724	3437
174	728	3432
175	731	3427
176	736	3423
177	743	3433
178	749	3439
179	757	3451
180	764	3457
181	771	3465
182	776	3466
183	784	3479
184	790	3480
185	796	3486
186	803	3494
187	809	3494
188	815	3500
189	820	3496
190	824	3491
191	846	3561
192	852	3565
193	857	3561
194	864	3568
195	882	3619
196	885	3611
197	889	3603
198	893	3598
199	897	3591
200	901	3583
201	905	3577
202	910	3574
203	914	3569
204	918	3561
205	922	3555
206	927	3554
207	931	3546
208	935	3540
209	939	3534
210	943	3527
211	947	3520
212	951	3514
213	956	3513
214	960	3505
215	964	3499
216	968	3493
217	972	3486
218	975	3479
219	979	3473
220	985	3472
221	988	3465
222	992	3458
223	997	3454
224	1001	3450
225	1005	3443
226	1009	3437
227	1013	3432
228	1017	3425
229	1021	3418
230	1025	3414
231	1030	3411
232	1034	3404
233	1038	3398
234	1043	3397
235	1047	3390
236	1051	3384
237	1055	3379
238	1059	3372
239	1062	3365
240	1067	3360
241	1072	3359
242	1076	3352
243	1080	3346
244	1084	3343
245	1088	3336
246	1092	3330
247	1097	3326
248	1101	3321
249	1105	3315
250	1109	3310
251	1114	3309
252	1118	3303
253	1122	3297
254	1127	3293
255	1132	3290
256	1136	3284
257	1140	3279
258	1145	3275
259	1149	3270
260	1153	3264
261	1159	3265
262	1162	3258
263	1166	3253
264	1172	3251
265	1176	3245
266	1180	3239
267	1184	3235
268	1189	3233
269	1193	3227
270	1198	3223
271	1203	3222
272	1208	3218
273	1213	3215
274	1218	3212
275	1222	3205
276	1226	3200
277	1231	3198
278	1235	3192
279	1239	3186
280	1243	3181
281	1247	3175
282	1250	3168
283	1254	3163
284	1260	3161
285	1263	3154
286	1267	3149
287	1272	3145
288	1275	3138
289	1279	3132
290	1283	3126
291	1288	3124
292	1292	3117
293	1296	3112
294	1300	3108
295	1304	3101
296	1307	3095
297	1311	3089
298	1316	3086
299	1320	3080
300	1323	3074
301	1328	3070
302	1333	3067
303	1337	3062
304	1342	3058
305	1346	3053
306	1351	3050
307	1356	3046
308	1360	3041
309	1365	3038
310	1369	3034
311	1373	3029
312	1381	3031
313	1394	3046
314	1402	3050
315	1413	3059
316	1420	3061
317	1428	3063
318	1434	3062
319	1443	3067
320	1449	3067
321	1453	3061
322	1458	3057
323	1463	3052
324	1467	3046
325	1471	3041
326	1475	3037
327	1479	3031
328	1483	3025
329	1487	3020
330	1491	3014
331	1495	3008
332	1498	3002
333	1503	2998
334	1507	2992
335	1510	2985
336	1515	2980
337	1519	2976
338	1523	2970
339	1527	2964
340	1531	2960
341	1535	2954
342	1539	2948
343	1543	2943
344	1547	2938
345	1551	2932
346	1555	2926
347	1559	2922
348	1563	2916
349	1567	2910
350	1571	2905
351	1575	2901
352	1579	2895
353	1583	2889
354	1587	2884
355	1592	2880
356	1595	2874
357	1599	2868
358	1604	2864
359	1607	2858
360	1611	2852
361	1615	2846
362	1620	2842
363	1623	2836
364	1627	2831
365	1631	2825
366	1636	2822
367	1639	2816
368	1643	2810
369	1647	2805
370	1651	2799
371	1654	2793
372	1658	2788
373	1663	2784
374	1667	2779
375	1671	2773
376	1675	2768
377	1680	2765
378	1684	2759
379	1688	2754
380	1692	2749
381	1697	2746
382	1701	2741
383	1706	2736
384	1711	2733
385	1715	2728
386	1719	2724
387	1724	2719
388	1729	2716
389	1733	2711
390	1737	2706
391	1742	2702
392	1746	2697
393	1750	2693
394	1756	2689
395	1759	2684
396	1764	2679
397	1768	2674
398	1772	2670
399	1776	2665
400	1781	2661
401	1785	2655
402	1789	2650
403	1793	2645
404	1797	2640
405	1800	2634
406	1804	2629
407	1810	2626
408	1813	2621
